name	category
abdul aziz	sportowcy
adam kozłowski	malarze
abou moussa	politycy
adam bodnar	prawnicy
adam kwiatkowski	aktorzy
adam gruca	lekarze
adam kolasa	sportowcy
adam bielan	politycy
adam hofman	politycy
adam jasser	dziennikarze
adam lipiński	politycy
adam maciejewski	lekarze
adam małysz	sportowcy
agata młynarska	dziennikarze
adam mickiewicz	poeci
adam michnik	dziennikarze
agnieszka domańska	sportowcy
adam rogacki	politycy
adam szejnfeld	politycy
adam strzembosz	prawnicy
agnieszka grochowska	aktorzy
ada negri	poeci
adolf eichmann	politycy
agnieszka korzeniowska	aktorzy
agnieszka radwańska	sportowcy
aleksander pociej	prawnicy
agnieszka szulim-badziak	dziennikarze
ahmed mohamed	politycy
aleksander sopliński	politycy
aleksander margolis	lekarze
aleksander krawczuk	politycy
ahmed yassin	politycy
alan rusbridger	dziennikarze
aleksander grad	politycy
aleksandra jakubowska	dziennikarze
alexander keith	politycy
alice nkom	prawnicy
andrzej czerwiński	politycy
alicja chybicka	lekarze
andrzej arendarski	politycy
andrzej baranowski	aktorzy
andrzej depko	lekarze
andrew nagorski	dziennikarze
andrzej chyra	aktorzy
andrzej celiński	politycy
andrzej biernat	politycy
andrzej dobrowolski	muzycy
andrzej draguła	duchowni
andrzej drzycimski	dziennikarze
andrzej markowski	muzycy
andrzej gwiazda	politycy
andrzej dzięga	duchowni
andrzej dąbrowski	muzycy
andrzej matusiewicz	prawnicy
andrzej iwiński	aktorzy
andrzej kotula	prawnicy
andrzej malinowski	politycy
andrzej lepper	politycy
andrzej mroczek	dziennikarze
andrzej olechowski	politycy
andrzej poczobut	dziennikarze
andrzej wajda	politycy
andrzej rzepliński	prawnicy
andrzej sieradzki	poeci
andrzej pałys	politycy
andrzej włodarczyk	lekarze
andrzej urbański	politycy
andrzej talaga	dziennikarze
andrzej stelmachowski	politycy
andrzej strejlau	sportowcy
andrzej zoll	prawnicy
andrzej zwara	prawnicy
andrzej łapicki	aktorzy
anna kozak	sportowcy
andrzej śliwiński	duchowni
andrzej śmietanko	politycy
anna grodzka	politycy
angela merkel	politycy
anna dymna	aktorzy
anita gargas	dziennikarze
anna dąbrowska	muzycy
anna fotyga	politycy
anna paluch	politycy
anna prokop-staszecka	lekarze
anna sobecka	politycy
antoni macierewicz	politycy
anna zielińska-głębocka	politycy
anna stanisławska	poeci
anne applebaum	dziennikarze
anna szymańska	sportowcy
antoni słonimski	poeci
antoni amirowicz	sportowcy
antoni górski	prawnicy
antoni dydycz	duchowni
antónio guterres	politycy
arkadiusz czartoryski	politycy
arkadiusz wiśniewski	sportowcy
barbara grabowska	aktorzy
arseniy yatsenyuk	politycy
artur górski	politycy
artur balazs	politycy
barbara bubula	politycy
artur ostrowski	politycy
barbara blida	politycy
aryeh neier	prawnicy
artur żmijewski	aktorzy
barbara kudrycka	politycy
barbara sadowska	poeci
barbara włodarczyk	dziennikarze
